truck,car,motor,bus,train,build,sky,wall,vaget,bike,road,terrain,pole,bridge,person,traffic sign,side walk,traffic light,rider,lat,lng
0.031881332,0.007190704,7.63E-06,,,0.000337601,0.623069763,9.54E-06,0.101467133,,0.197162628,2.86E-05,0.006574631,0.018375397,0.000570297,0.001728058,0.012378693,0.000192642,1.91E-06,114.1607948,22.65803289
,0.034656525,8.01E-05,,9.54E-06,0.158607483,0.026071548,0.010309219,0.575862885,0.004711151,0.122900009,0.010290146,0.000770569,0.01591301,0.00545311,0.000541687,0.034639359,0.000160217,,114.1129299,22.59746647
0.090408325,0.029958725,,,0.000127792,0.553739548,0.073656082,0.040283203,0.004272461,2.86E-05,0.083749771,,0.001970291,0.116657257,0.000175476,0.000686646,0.005262375,,,114.1323565,22.61439187
4.39E-05,0.022033691,5.72E-06,,,0.168819427,0.009716034,3.81E-06,0.574007034,0.000495911,0.123922348,0.071432114,0.000123978,0.012248993,0.000144958,0.001625061,0.016353607,,,113.930007,22.50240472
0.011419296,0.075866699,7.44E-05,,0.001411438,0.151741028,0.38322258,2.48E-05,0.191169739,,0.133745193,0.005744934,0.005027771,0.011964798,0.000148773,0.001224518,0.027973175,0.000217438,,114.1389906,22.62677652
3.81E-06,0.061634064,4.20E-05,0.000102997,,0.012639999,0.634580612,0.002510071,0.078243256,0.001834869,0.148420334,0.003210068,0.006881714,0.045513153,0.000457764,0.002666473,0.001277924,0.000478745,0.000478745,113.919639,22.65971265
,,,,,0.016683578,0.118284225,0.001213074,0.792398453,,0.049211502,0.022008896,0.000108719,7.44E-05,,,0.000993729,,,114.0607263,22.55964509
,0.069051743,0.00170517,,,0.031673431,0.257822037,8.39E-05,0.457439423,0.006490707,0.130369186,0.004617691,0.001272202,0.031066895,0.00283432,2.10E-05,0.004983902,,0.001544952,113.9188408,22.5445686
,0.034162521,,,,0.031732559,0.176931381,,0.569417953,4.96E-05,0.178382874,0.002664566,0.001096725,9.54E-06,0.000650406,0.001117706,0.004760742,,,113.9534555,22.581174
0.001276016,0.00202179,2.10E-05,,,0.134433746,0.55257225,0.001077652,0.152616501,0.003923416,0.10953331,,0.003601074,0.012262344,0.000507355,0.001342773,0.020736694,4.96E-05,0.005001068,114.0511283,22.51388975
1.53E-05,1.72E-05,,3.62E-05,9.92E-05,0.086294174,0.385782242,0.000627518,0.285579681,0.013046265,0.09176445,0.000888824,0.013637543,0.113082886,0.006240845,0.001068115,0.002506256,0.000289917,,114.1110486,22.55887085
0.00030899,0.000547409,2.48E-05,8.77E-05,,0.009943008,0.539903641,,0.192470551,0.001281738,0.14746666,0.077928543,0.010663986,0.013866425,2.67E-05,0.002433777,0.003572464,0.000394821,5.53E-05,113.9344653,22.55231443
0.000421524,0.03326416,0.001386642,,,0.181335449,0.440233231,0.000976563,0.107263565,0.002544403,0.196609497,0.002931595,0.007602692,0.00928688,0.001159668,0.001932144,0.013050079,,0.00097847,114.0259309,22.6667938
1.53E-05,0.002645493,,,,0.060632706,0.260856628,1.34E-05,0.588651657,9.54E-06,0.076652527,0.004730225,0.002283096,0.000995636,,,0.003490448,,,114.0974324,22.60228708
0.003511429,0.0141716,5.15E-05,,,0.02372551,0.486036301,,0.257995605,5.72E-06,0.188146591,0.000379562,0.00091362,0.023677826,0.000762939,0.000440598,0.001064301,9.35E-05,,113.9832014,22.55787639
,0.004037857,,,,0.005756378,0.303089142,0.000944138,0.431163788,1.91E-06,0.190998077,0.013816833,0.001651764,0.029161453,,0.001810074,0.018545151,,,114.0087978,22.61653923
0.002632141,0.03481102,0.000835419,0.000118256,,0.145359039,0.19203949,0.000185013,0.456195831,0.016403198,0.067256927,,0.000371933,0.065668106,0.001472473,0.002405167,0.015222549,,,113.9150867,22.5400601
,0.010982513,,,,0.024040222,0.597637177,8.77E-05,0.085828781,,0.15795517,0.025682449,0.006248474,0.053035736,,9.35E-05,0.039384842,,,113.9481867,22.51711853
